task_id,timestamp_us,total_run_time,total_io_wait_time,total_ready_wait_time,delta
F,98995,40874,0,39008,9
B,108995,38992,0,50890,10
F,193995,90864,0,84018,9
F,288995,140854,0,129028,9
B,317995,137970,0,160912,10
F,383995,190844,0,174038,9
F,478995,240834,0,219048,9
B,526995,236948,0,270934,10
F,573995,290824,0,264058,9
F,668995,340814,0,309068,9
B,735995,335926,0,380956,10
F,763995,390804,0,354078,9
F,854995,437794,0,399088,9
B,945995,440904,0,482978,9
F,959995,482784,0,454098,14
F,1099995,533774,0,534108,19
F,1276995,598764,0,639118,24
B,1292995,638882,0,614000,16
F,1497995,683754,0,767128,27
F,1753995,793744,0,907138,28
B,1835995,934860,0,845022,27
F,2042995,928734,0,1053148,31
F,2368995,1088724,0,1212158,33
B,2548995,1278838,0,1197044,38
F,2738995,1273714,0,1387168,38
F,3150995,1477704,0,1587178,43
B,3464995,1716816,0,1656066,47
F,3605995,1702694,0,1808188,47
F,4101995,1949684,0,2052198,50
B,4551995,2251794,0,2200088,50
F,4601995,2199674,0,2302208,50
F,5101995,2449664,0,2552218,50
F,5601995,2699654,0,2802228,50
B,5651995,2801772,0,2750110,50
F,6101995,2949644,0,3052238,50
F,6601995,3199634,0,3302248,50
B,6751995,3351750,0,3300132,50
F,7101995,3449624,0,3552258,50
F,7601995,3699614,0,3802268,50
B,7851995,3901728,0,3850154,50
F,8101995,3949604,0,4052278,50
F,8601995,4199594,0,4302288,50
B,8949995,4451706,0,4399176,49
F,9099995,4447584,0,4552298,50
F,9599995,4697574,0,4802308,50
B,10049995,5001684,0,4948198,50
F,10099995,4947564,0,5052318,50
F,10597995,5197554,0,5300328,50
F,11097995,5447544,0,5550338,50
B,11147995,5549662,0,5498220,50
F,11597995,5697534,0,5800348,50
F,12096995,5947524,0,6049358,50
B,12246995,6098640,0,6048242,50
F,12596995,6197514,0,6299368,50
F,13096995,6447504,0,6549378,50
B,13346995,6648618,0,6598264,50
F,13596995,6697494,0,6799388,50
F,14096995,6947484,0,7049398,50
B,14445995,7197596,0,7148286,50
F,14595995,7197474,0,7298408,50
F,15095995,7447464,0,7548418,50
B,15543995,7747574,0,7696308,50
F,15593995,7695454,0,7798428,50
F,16093995,7945444,0,8048438,50
F,16593995,8195434,0,8298448,50
B,16643995,8297552,0,8246330,50
F,17093995,8445424,0,8548458,50
F,17593995,8695414,0,8798468,50
B,17743995,8847530,0,8796352,50
F,18093995,8945404,0,9048478,50
F,18593995,9195394,0,9298488,50
B,18843995,9397508,0,9346374,50
F,19093995,9445384,0,9548498,50
F,19593995,9695374,0,9798508,50
B,19943995,9947486,0,9896396,50
F,20093995,9945364,0,10048518,50
F,20593995,10195354,0,10298528,50
B,21041995,10497464,0,10444418,50
F,21091995,10443344,0,10548538,50
F,21591995,10693334,0,10798548,50
F,22091995,10943324,0,11048558,50
B,22141995,11047442,0,10994440,50
F,22591995,11193314,0,11298568,50
F,23091995,11443304,0,11548578,50
B,23241995,11597420,0,11544462,50
F,23591995,11693294,0,11798588,50
F,24091995,11943284,0,12048598,50
B,24341995,12147398,0,12094484,50
F,24591995,12193274,0,12298608,50
F,25091995,12443264,0,12548618,50
B,25441995,12697376,0,12644506,50
F,25591995,12693254,0,12798628,50
F,26091995,12943244,0,13048638,50
B,26539995,13246354,0,13194528,50
F,26589995,13193234,0,13296648,50
F,27089995,13443224,0,13546658,50
F,27589995,13693214,0,13796668,50
B,27639995,13795332,0,13744550,50
F,28089995,13943204,0,14046678,50
F,28589995,14193194,0,14296688,50
B,28737995,14345310,0,14293572,49
F,29087995,14441184,0,14546698,50
F,29587995,14691174,0,14796708,50
B,29835995,14895288,0,14840594,50
F,30085995,14939164,0,15046718,50
F,30585995,15189154,0,15296728,50
B,30934995,15445266,0,15390616,50
F,31083995,15439144,0,15544738,50
F,31582995,15689134,0,15793748,50
B,32032995,15992244,0,15940638,50
F,32082995,15939124,0,16043758,50
F,32582995,16189114,0,16293768,50
F,33082995,16439104,0,16543778,50
B,33132995,16542222,0,16490660,50
F,33582995,16689094,0,16793788,50
F,34082995,16939084,0,17043798,50
B,34232995,17092200,0,17040682,50
F,34582995,17189074,0,17293808,50
F,35080995,17439064,0,17541818,50
B,35330995,17640178,0,17590704,50
F,35580995,17689054,0,17791828,50
F,36078995,17937044,0,18041838,50
B,36428995,18190156,0,18138726,50
F,36578995,18187034,0,18291848,50
F,37078995,18437024,0,18541858,50
B,37528995,18740134,0,18688748,50
F,37578995,18687014,0,18791868,50
F,38078995,18937004,0,19041878,50
F,38578995,19186994,0,19291888,50
B,38628995,19290112,0,19238770,50
F,39077995,19436984,0,19541898,49
F,39576995,19686974,0,19789908,50
B,39726995,19838090,0,19788792,50
F,40076995,19936964,0,20039918,50
F,40576995,20186954,0,20289928,50
B,40826995,20388068,0,20338814,50
F,41076995,20436944,0,20539938,50
F,41576995,20686934,0,20789948,50
B,41925995,20938046,0,20888836,50
F,42074995,20936924,0,21038958,50
F,42573995,21184914,0,21288968,50
B,43023995,21487024,0,21436858,50
F,43073995,21434904,0,21538978,50
F,43570995,21682894,0,21787988,50
F,44070995,21932884,0,22037998,50
B,44120995,22036002,0,21984880,50
F,44570995,22182874,0,22288008,50
F,45070995,22432864,0,22538018,50
B,45220995,22585980,0,22534902,50
F,45569995,22682854,0,22788028,50
F,46069995,22931844,0,23038038,50
B,46319995,23135958,0,23083924,50
F,46568995,23181834,0,23288048,50
F,47068995,23430824,0,23538058,50
B,47418995,23685936,0,23632946,50
F,47568995,23680814,0,23788068,50
F,48068995,23930804,0,24038078,50
B,48516995,24235914,0,24180968,50
F,48566995,24178794,0,24288088,50
F,49066995,24428784,0,24538098,50
F,49564995,24678774,0,24786108,50
B,49614995,24783892,0,24730990,50
F,50064995,24928764,0,25036118,50
F,50564995,25178754,0,25286128,50
B,50714995,25333870,0,25281012,50
F,51064995,25428744,0,25536138,50
F,51564995,25678734,0,25786148,50
B,51813995,25883848,0,25831034,50
F,52062995,25928724,0,26034158,50
F,52562995,26178714,0,26284168,50
B,52912995,26431826,0,26381056,50
F,53061995,26428704,0,26534178,50
F,53560995,26676694,0,26784188,50
B,54009995,26981804,0,26929078,49
F,54059995,26926684,0,27034198,50
F,54558995,27174674,0,27284208,50
F,55049995,27424664,0,27527218,48
B,55099995,27524782,0,27477100,50
F,55538995,27673654,0,27766228,49
